##BLOCKS= 2          																					
Plate:	Plate#1	1.3	PlateFormat	Spectrum	Absorbance	Raw	FALSE	41			350	750	10			1	12	96	1	8	None
		0.642083	0.522083	0.437083	0.492083	0.402083	0.428083	0.460083	0.483083	0.547083	0.368083	0.486083	0.399083								
		0.355083	0.373083	0.471083	0.377083	0.560083	0.452083	0.345083	0.396083	0.415083	0.380083	0.456083	0.348083								
		0.403083	0.373083	0.425083	0.450083	0.387083	0.336083	0.488083	0.412083	0.330083	0.382083	0.403083	0.320083								
		0.393083	0.374083	0.342083	0.378083	0.368083	0.378083	0.394083	0.411083	0.433083	0.354083	0.288083	0.398083								
		0.086083	-0.016917	0.060083	-0.019917	0.021083	0.045083	-0.033917	-0.031917	-0.030917	-0.028917	-0.025917	-0.023917								
		-0.031917	-0.031917	-0.033917	-0.032917	-0.033917	-0.031917	-0.030917	-0.032917	-0.033917	-0.023917	-0.028917	-0.032917								
																					
550	20.3	0.939083	0.820083	0.172083	0.172083	0.067083	0.077083	0.247083	0.299083	0.366083	0.642083	0.407083	0.566083								
		0.232083	0.213083	0.266083	0.437083	0.435083	0.604083	0.540083	1.459083	0.933083	0.985083	1.396083	0.801083								
		0.780083	0.634083	0.527083	0.593083	0.485083	0.513083	0.552083	0.582083	0.660083	0.442083	0.567083	0.466083								
		0.427083	0.448083	0.564083	0.452083	0.676083	0.542083	0.415083	0.372083	0.389083	0.358083	0.432083	0.329083								
		0.381083	0.353083	0.401083	0.411083	0.363083	0.316083	0.459083	0.391083	0.312083	0.363083	0.378083	0.302083								
		0.369083	0.354083	0.324083	0.358083	0.344083	0.356083	0.377083	0.386083	0.411083	0.336083	0.268083	0.375083								
		0.085083	-0.017917	0.059083	-0.018917	0.020083	0.044083	-0.032917	-0.030917	-0.029917	-0.028917	-0.025917	-0.022917								
		-0.030917	-0.030917	-0.032917	-0.031917	-0.031917	-0.031917	-0.029917	-0.031917	-0.032917	-0.022917	-0.027917	-0.031917								
																					
560	20.3	0.880333	0.751333	0.146333	0.146333	0.055333	0.065333	0.243333	0.312333	0.392333	0.692333	0.453333	0.622333								
		0.273333	0.252333	0.311333	0.487333	0.487333	0.642333	0.580333	1.476333	0.963333	1.016333	1.452333	0.841333								
		0.814333	0.670333	0.567333	0.650333	0.529333	0.563333	0.608333	0.643333	0.725333	0.492333	0.623333	0.511333								
		0.475333	0.501333	0.633333	0.509333	0.761333	0.610333	0.468333	0.328333	0.340333	0.313333	0.381333	0.285333								
		0.329333	0.306333	0.354333	0.360333	0.314333	0.276333	0.401333	0.342333	0.271333	0.317333	0.332333	0.261333								
		0.325333	0.308333	0.281333	0.313333	0.302333	0.310333	0.325333	0.342333	0.360333	0.293333	0.239333	0.327333								
		0.085333	-0.018667	0.059333	-0.019667	0.020333	0.043333	-0.032667	-0.030667	-0.030667	-0.028667	-0.024667	-0.022667								
		-0.031667	-0.031667	-0.033667	-0.032667	-0.032667	-0.031667	-0.030667	-0.031667	-0.033667	-0.023667	-0.028667	-0.032667								
																					
570	20.3	0.755083	0.673083	0.095083	0.096083	0.035083	0.046083	0.237083	0.326083	0.420083	0.749083	0.506083	0.666083								
		0.316083	0.290083	0.354083	0.519083	0.507083	0.573083	0.545083	1.185083	0.811083	0.874083	1.338083	0.796083								
		0.702083	0.603083	0.538083	0.629083	0.514083	0.557083	0.603083	0.637083	0.716083	0.500083	0.639083	0.520083								
		0.483083	0.514083	0.658083	0.531083	0.794083	0.639083	0.491083	0.230083	0.242083	0.220083	0.277083	0.196083								
		0.234083	0.215083	0.254083	0.253083	0.216083	0.187083	0.300083	0.247083	0.183083	0.222083	0.236083	0.178083								
		0.226083	0.210083	0.190083	0.220083	0.211083	0.233083	0.229083	0.242083	0.256083	0.201083	0.177083	0.228083								
		0.085083	-0.017917	0.059083	-0.018917	0.020083	0.044083	-0.032917	-0.030917	-0.030917	-0.028917	-0.024917	-0.022917								
		-0.030917	-0.031917	-0.033917	-0.032917	-0.032917	-0.031917	-0.030917	-0.031917	-0.033917	-0.023917	-0.028917	-0.032917								
																					
580	20.3	0.619417	0.580417	0.040417	0.043417	0.014417	0.027417	0.230417	0.340417	0.445417	0.803417	0.558417	0.719417								
		0.359417	0.329417	0.397417	0.554417	0.532417	0.520417	0.519417	0.936417	0.682417	0.759417	1.246417	0.762417								
		0.612417	0.552417	0.519417	0.620417	0.507417	0.557417	0.606417	0.643417	0.722417	0.513417	0.659417	0.533417								
		0.496417	0.532417	0.688417	0.558417	0.832417	0.674417	0.520417	0.127417	0.138417	0.122417	0.172417	0.100417								
		0.131417	0.119417	0.147417	0.144417	0.114417	0.090417	0.198417	0.143417	0.089417	0.127417	0.138417	0.090417								
		0.120417	0.109417	0.094417	0.123417	0.113417	0.132417	0.129417	0.138417	0.150417	0.105417	0.110417	0.127417								
		0.085417	-0.017583	0.058417	-0.019583	0.020417	0.043417	-0.032583	-0.030583	-0.030583	-0.028583	-0.024583	-0.023583								
		-0.030583	-0.031583	-0.033583	-0.031583	-0.032583	-0.031583	-0.030583	-0.031583	-0.033583	-0.023583	-0.027583	-0.032583								
																					
590	20.3	0.5245	0.4825	0.0035	0.0065	-0.0005	0.0145	0.2295	0.3595	0.4795	0.8745	0.6185	0.7795								
		0.4095	0.3765	0.4515	0.6065	0.5795	0.5185	0.5355	0.8265	0.6415	0.7225	1.2375	0.7715								
		0.5905	0.5535	0.5385	0.6515	0.5335	0.5915	0.6445	0.6885	0.7675	0.5535	0.7105	0.5695								
		0.5345	0.5765	0.7535	0.6095	0.9075	0.7395	0.5695	0.0535	0.0615	0.0505	0.0895	0.0315								
		0.0545	0.0485	0.0685	0.0655	0.0405	0.0235	0.1245	0.0665	0.0245	0.0545	0.0635	0.0245								
		0.0455	0.0375	0.0265	0.0505	0.0465	0.0645	0.0595	0.0635	0.0745	0.0375	0.0635	0.0515								
		0.0845	-0.0175	0.0585	-0.0195	0.0205	0.0435	-0.0325	-0.0305	-0.0305	-0.0285	-0.0245	-0.0235								
		-0.0305	-0.0315	-0.0335	-0.0325	-0.0325	-0.0325	-0.0305	-0.0315	-0.0335	-0.0235	-0.0285	-0.0325								
																					
600	20.3	0.477583	0.480583	-0.012417	-0.008417	-0.004417	0.011583	0.226583	0.375583	0.509583	0.947583	0.678583	0.838583								
		0.460583	0.425583	0.507583	0.663583	0.637583	0.550583	0.576583	0.821583	0.660583	0.747583	1.284583	0.807583								
		0.615583	0.585583	0.578583	0.704583	0.575583	0.641583	0.699583	0.746583	0.830583	0.602583	0.768583	0.615583								
		0.582583	0.628583	0.824583	0.668583	0.993583	0.810583	0.623583	0.019583	0.023583	0.016583	0.050583	0.000583								
		0.020583	0.015583	0.035583	0.026583	0.007583	-0.005417	0.079583	0.032583	-0.003417	0.021583	0.024583	-0.002417								
		0.011583	0.004583	-0.003417	0.014583	0.012583	0.031583	0.022583	0.025583	0.033583	0.005583	0.037583	0.017583								
		0.085583	-0.017417	0.058583	-0.019417	0.019583	0.043583	-0.032417	-0.030417	-0.030417	-0.028417	-0.025417	-0.023417								
		-0.031417	-0.032417	-0.033417	-0.032417	-0.033417	-0.032417	-0.030417	-0.032417	-0.033417	-0.024417	-0.028417	-0.033417								
																					
